,Sample_0,Sample_1,Sample_2,Sample_3,Sample_4,Sample_5,Sample_6,Sample_7,Sample_8,Sample_9,Sample_10,Sample_11,Sample_12,Sample_13,Sample_14,Sample_15,Sample_16,Sample_17,Sample_18,Sample_19,Sample_20,Sample_21,Sample_22,Sample_23,Sample_24,Sample_25,Sample_26,Sample_27,Sample_28,Sample_29,Sample_30,Sample_31,Sample_32,Sample_33,Sample_34,Sample_35,Sample_36,Sample_37,Sample_38,Sample_39,Sample_40,Sample_41,Sample_42,Sample_43,Sample_44,Sample_45,Sample_46,Sample_47,Sample_48,Sample_49
Gene_126,12,10,10,8,12,6,9,8,5,8,12,11,14,15,5,7,12,7,10,3,8,6,5,18,9,14,11,7,10,7,5,17,6,15,8,8,12,15,6,3,9,8,11,10,12,6,9,10,11,7
Gene_127,6,10,7,4,10,10,12,8,11,12,13,8,13,13,12,10,6,7,8,12,13,7,7,10,8,8,10,9,8,16,7,6,13,11,9,16,5,6,14,16,9,13,9,17,8,12,9,9,8,14
Gene_128,8,5,9,9,13,9,13,7,13,17,17,22,8,6,14,14,13,8,7,13,8,4,5,10,8,11,13,11,16,14,13,17,8,10,12,10,5,7,9,10,6,12,8,7,19,9,12,12,14,14
Gene_129,8,15,11,11,9,6,6,6,10,11,6,11,12,10,14,14,10,10,7,11,7,7,11,13,14,15,9,10,9,8,9,12,9,10,4,7,12,5,9,12,11,14,8,11,6,12,8,5,10,8
Gene_130,7,8,5,8,12,8,13,6,11,7,12,7,7,6,9,7,10,18,8,19,16,14,11,15,8,3,12,11,17,12,9,10,11,14,8,9,11,10,14,11,7,9,12,15,9,13,18,16,14,14
Gene_131,7,16,10,11,8,9,8,10,11,10,7,11,9,10,12,6,5,5,14,13,5,9,10,9,7,8,4,10,8,12,4,10,11,14,10,4,9,12,12,11,9,2,15,12,6,12,7,8,6,6
Gene_132,13,12,9,7,7,9,8,9,8,8,15,15,8,11,9,10,7,7,8,10,15,12,11,7,13,8,13,6,7,7,8,11,12,8,8,22,9,7,10,9,14,7,9,15,10,8,8,14,4,15
Gene_133,9,4,8,7,8,11,12,13,10,11,14,9,12,16,16,10,10,11,9,13,10,11,9,11,13,5,16,8,13,15,9,5,8,7,7,10,17,8,8,8,9,9,13,7,7,10,11,7,7,9
Gene_134,5,15,16,14,12,12,9,10,9,15,10,11,10,7,19,12,6,14,5,9,6,7,8,15,12,15,9,8,9,7,3,4,7,7,10,11,11,11,6,7,11,7,11,9,5,5,14,12,11,12
Gene_135,9,8,7,6,8,14,9,15,8,10,7,11,14,7,9,12,10,5,6,7,7,4,13,12,6,9,11,8,17,9,16,9,13,7,11,9,7,13,6,20,9,12,11,9,7,8,12,14,10,10
Gene_136,7,10,12,12,8,12,15,10,2,13,8,10,8,16,11,4,13,10,7,8,11,7,13,9,11,9,11,13,18,17,10,17,13,5,16,5,8,10,10,12,6,13,9,6,10,9,10,5,7,7
Gene_137,13,9,6,7,11,13,7,10,5,10,9,13,7,10,7,9,7,11,9,11,19,9,14,8,11,11,16,13,9,5,10,9,15,11,9,11,6,5,13,5,8,15,14,12,13,11,12,9,13,13
Gene_138,11,3,10,10,9,13,12,15,15,8,7,9,7,10,11,7,7,3,9,7,11,15,8,10,7,15,14,11,11,16,7,10,10,9,6,9,10,5,6,15,9,15,12,14,7,14,8,7,10,6
Gene_139,12,12,8,8,9,11,12,7,10,10,10,10,11,10,6,7,10,15,6,10,15,11,19,16,7,8,6,9,11,11,7,9,8,14,11,11,8,6,8,8,12,4,10,11,11,8,10,6,10,14
Gene_140,6,7,11,9,5,5,14,12,9,8,5,15,15,5,15,12,10,11,15,10,13,11,8,9,13,12,12,12,9,8,15,9,8,6,12,9,8,9,10,12,10,7,5,12,6,10,12,9,7,7
Gene_141,11,9,10,10,11,17,8,9,7,13,6,10,11,8,12,7,9,11,2,7,6,12,3,9,3,4,17,15,18,8,12,13,18,7,12,13,13,5,5,8,6,7,14,10,13,10,9,11,7,7
Gene_142,7,12,8,10,10,14,9,12,4,8,10,10,13,9,13,11,14,5,14,8,11,6,13,7,11,12,13,16,5,10,8,9,16,6,11,12,10,11,8,14,9,14,7,8,8,5,5,7,8,6
Gene_143,15,14,7,16,13,11,11,10,9,3,13,4,6,10,13,10,10,7,12,9,10,9,8,10,11,9,10,15,6,10,11,8,10,16,5,6,16,9,8,9,10,9,7,7,8,10,8,8,8,19
Gene_144,9,9,11,8,19,8,13,9,10,10,8,11,10,3,8,8,10,9,6,9,13,11,6,11,8,13,13,8,12,10,7,8,6,8,11,11,7,10,13,14,10,15,12,13,9,9,12,7,5,14
Gene_145,13,7,12,20,7,7,11,8,12,5,5,17,9,13,8,10,9,11,14,6,8,11,16,9,11,9,6,7,13,9,12,10,12,3,10,9,9,9,8,7,5,10,7,7,10,12,13,8,9,8
Gene_146,6,10,7,10,11,10,10,9,8,7,5,6,8,12,7,5,6,12,9,11,14,10,9,14,9,9,11,10,7,9,9,14,6,6,15,19,8,3,13,11,8,11,11,5,10,10,9,7,12,10
Gene_147,7,7,13,4,9,7,10,8,9,8,8,10,6,10,10,18,16,8,9,13,14,10,8,14,9,9,9,12,8,8,3,15,12,14,10,10,15,10,9,11,10,6,9,6,12,13,20,8,10,7
Gene_148,17,19,16,11,10,12,7,10,10,10,16,19,8,8,8,14,8,9,13,15,8,10,8,11,10,13,13,16,5,14,8,11,16,16,11,20,10,8,9,11,4,13,11,11,5,6,8,7,11,10
Gene_149,4,8,10,11,15,8,14,10,7,10,13,11,14,17,13,13,11,11,11,12,7,5,10,5,8,7,14,5,8,12,10,13,9,11,9,11,9,13,13,8,11,9,16,12,14,11,7,4,7,12
Gene_150,13,14,8,11,11,10,7,11,10,9,8,15,10,11,13,13,11,13,4,9,9,9,7,8,12,8,12,11,17,7,16,19,6,10,7,6,12,4,13,9,7,12,11,9,10,9,12,11,12,12
Gene_151,7,9,7,8,9,12,6,11,14,16,19,17,11,15,4,6,13,14,7,11,7,9,10,4,9,15,10,10,12,11,15,14,3,13,7,11,7,14,13,7,6,8,14,13,11,5,10,12,13,5
Gene_152,13,10,8,8,10,11,10,18,12,6,16,10,7,12,13,10,15,12,4,14,9,11,6,12,7,14,13,7,9,10,10,12,6,8,13,9,14,9,17,9,8,15,14,17,9,10,10,8,10,8
Gene_153,8,13,8,6,4,9,7,10,13,9,11,7,8,10,14,9,8,7,11,7,15,9,6,9,14,9,11,12,6,9,19,7,10,15,8,12,15,11,8,8,14,5,11,11,6,8,9,14,13,12
Gene_154,9,8,14,7,16,11,5,7,6,10,11,12,7,13,10,11,7,6,10,10,11,13,13,9,8,9,11,11,6,11,8,13,10,11,10,9,9,8,13,8,15,15,4,7,11,7,12,6,6,12
Gene_155,11,12,13,12,7,13,13,13,7,11,14,15,10,11,20,9,9,9,11,16,9,9,10,14,8,11,4,13,5,6,8,11,11,8,17,8,10,14,5,7,9,11,14,13,13,5,13,7,8,7
Gene_156,9,9,7,11,8,8,7,6,11,7,7,8,7,9,6,14,14,8,12,14,8,12,13,10,10,11,13,9,12,11,10,10,11,11,9,11,11,12,11,12,8,10,13,8,6,12,10,2,13,13
Gene_157,12,9,9,2,11,6,10,1,6,13,6,13,14,13,6,6,12,8,12,11,7,6,5,12,11,12,11,6,6,14,12,13,8,16,12,14,8,10,9,9,11,8,15,9,8,9,12,12,14,6
Gene_158,11,7,9,9,10,8,17,5,8,4,12,5,7,6,10,13,14,6,12,13,8,6,7,12,7,13,15,14,9,6,7,12,10,9,11,7,8,9,11,9,6,9,9,9,11,8,9,8,7,12
Gene_159,17,10,3,11,8,14,5,13,10,7,10,14,8,7,20,10,9,10,10,18,13,11,8,17,4,11,6,15,10,6,13,12,9,8,17,9,18,8,4,8,9,15,12,8,6,15,12,7,14,9
Gene_160,11,19,10,6,10,10,11,11,10,16,14,15,15,4,8,8,10,7,11,9,12,9,7,8,9,13,7,13,22,18,8,11,14,11,9,7,8,10,6,8,7,19,13,12,7,9,5,6,10,13
Gene_161,7,15,13,9,10,12,9,13,11,10,12,7,10,10,6,11,7,6,10,10,14,13,12,6,6,13,10,7,11,7,10,5,12,13,6,11,10,10,10,6,14,8,8,7,9,12,7,7,9,10
Gene_162,11,9,5,9,10,7,5,12,10,10,8,10,13,14,16,2,7,15,10,7,8,7,13,10,16,8,11,11,7,10,17,7,14,5,11,8,5,10,6,7,12,13,6,10,8,7,13,3,8,8
Gene_163,8,10,7,10,13,7,11,10,15,11,8,10,8,8,14,7,10,9,10,12,6,9,16,16,11,14,12,6,17,11,12,15,9,10,11,8,9,3,10,9,20,11,13,12,11,5,11,8,12,11
Gene_164,9,8,7,14,11,9,5,5,8,11,9,12,11,12,8,14,13,9,7,10,12,10,15,7,10,11,9,13,15,10,8,5,11,10,9,6,6,6,2,7,8,14,6,7,11,7,6,9,10,13
Gene_165,8,9,11,13,10,8,9,9,7,4,10,10,10,8,9,13,12,13,4,10,16,14,9,8,12,10,7,11,8,10,15,11,12,11,9,5,8,11,10,12,11,10,18,9,9,10,14,14,10,10
Gene_166,10,12,15,8,10,10,16,13,8,13,7,10,11,10,8,11,8,8,6,14,10,14,10,8,8,11,11,13,12,8,3,12,3,14,16,9,3,16,13,7,12,16,13,10,9,5,11,14,16,13
Gene_167,16,9,9,8,7,11,7,11,10,6,14,11,6,10,13,7,12,11,7,11,14,9,12,11,5,6,16,12,15,8,9,8,5,12,11,11,11,8,13,7,16,10,9,15,10,12,10,15,6,14
Gene_168,13,13,8,7,13,8,11,12,10,10,7,6,5,9,12,12,16,15,11,9,17,12,7,7,11,17,19,6,9,13,11,9,6,9,7,9,10,12,11,13,16,9,16,10,11,9,11,4,4,10
Gene_169,9,11,11,13,13,10,12,4,8,11,8,8,14,9,12,10,6,13,5,11,5,8,10,7,12,7,8,10,8,12,4,11,11,8,5,9,15,6,9,10,9,5,4,5,13,4,19,7,10,4
Gene_170,11,11,10,10,9,6,12,14,16,16,11,10,8,7,14,6,12,18,7,11,13,13,9,7,2,11,7,8,11,11,11,6,8,7,10,8,7,9,7,8,13,7,16,11,9,11,15,8,11,12
Gene_171,5,6,8,11,13,13,10,11,16,8,10,15,10,14,15,8,7,12,10,5,12,14,18,11,9,12,7,9,7,10,9,9,12,11,13,12,8,4,7,10,7,9,9,9,10,11,4,13,6,9
Gene_172,14,13,9,14,14,10,11,15,15,12,8,13,12,8,6,15,6,5,12,11,4,7,9,7,13,9,12,10,13,8,18,5,10,13,10,11,10,10,10,12,7,15,15,10,14,17,12,11,17,8
Gene_173,13,10,12,7,7,8,11,12,5,10,7,10,12,7,14,13,9,13,7,14,5,16,12,9,12,8,11,5,6,7,12,11,10,8,8,10,11,6,11,13,5,9,13,11,8,17,12,13,9,11
Gene_174,11,10,6,11,16,11,10,12,8,12,9,10,12,14,8,19,8,8,8,2,9,13,5,13,6,10,12,10,11,3,12,7,10,7,10,12,15,12,9,8,10,7,14,14,11,12,9,9,7,13
Gene_175,11,12,10,12,8,8,17,8,9,9,13,4,11,18,12,16,2,11,7,7,12,8,8,9,7,7,12,12,12,8,6,13,13,10,17,16,5,10,14,15,10,9,9,5,9,12,10,12,5,12
Gene_176,16,9,11,9,8,9,15,4,6,10,9,10,12,4,12,5,8,14,9,11,9,10,7,5,13,11,4,8,8,7,14,11,12,8,8,10,7,10,10,11,9,7,5,15,8,12,10,11,8,13
Gene_177,11,5,13,10,11,14,11,4,4,9,6,11,13,3,8,11,14,9,7,13,14,8,10,17,6,9,13,5,14,12,17,7,10,11,13,8,16,13,14,8,12,19,12,11,12,10,5,9,10,12
Gene_178,9,11,9,12,8,10,9,4,9,7,13,13,12,9,10,17,13,10,9,10,11,21,13,13,18,8,9,17,13,3,13,8,11,9,10,12,10,10,12,9,14,9,8,5,12,6,11,2,11,9
Gene_179,7,15,12,10,18,9,9,11,6,10,9,6,13,10,12,15,21,7,7,11,13,8,8,9,14,11,11,8,14,9,14,11,11,10,14,8,9,11,15,19,3,16,7,6,16,7,12,9,8,12
Gene_180,6,20,13,12,11,10,10,8,13,14,14,11,12,5,16,11,6,13,17,10,14,12,8,10,12,14,9,11,8,10,8,12,10,8,9,13,8,15,15,7,4,8,12,15,9,10,13,8,10,13
Gene_181,10,7,9,14,9,10,7,12,9,8,8,8,14,9,9,8,10,10,14,11,14,3,11,12,9,8,9,8,8,11,11,10,7,10,9,15,8,11,7,10,12,12,9,8,12,10,11,12,10,6
Gene_182,12,10,10,10,16,9,8,12,10,13,15,8,13,6,11,6,13,11,13,14,13,3,11,8,6,10,8,13,4,9,12,12,3,9,4,6,5,13,8,9,5,7,11,6,14,7,8,8,7,7
Gene_183,13,8,12,10,14,7,6,9,9,8,5,11,9,8,14,12,13,8,10,8,9,7,8,8,10,16,9,8,11,12,12,12,9,6,7,6,13,6,5,6,14,5,6,17,9,13,11,10,14,12
Gene_184,5,5,7,7,12,9,7,6,17,11,12,8,5,11,7,7,4,13,11,7,8,15,8,10,9,9,16,13,8,12,5,11,8,15,13,11,10,7,8,10,18,8,11,16,13,14,12,17,13,7
Gene_185,13,5,8,13,7,11,7,7,8,8,7,11,9,7,10,14,8,12,9,6,7,18,4,6,12,8,9,10,8,10,11,11,6,11,14,7,10,10,10,12,11,9,16,10,8,10,7,10,6,8
Gene_186,16,9,22,9,8,7,9,14,11,5,15,12,8,11,8,15,9,10,11,11,5,15,3,14,16,9,11,10,8,12,6,15,10,18,12,16,15,3,12,12,11,15,12,11,11,7,12,6,6,14
Gene_187,8,14,9,5,10,7,11,13,11,13,7,8,13,10,12,5,6,7,16,8,9,14,9,10,6,6,9,7,8,6,6,10,9,17,9,8,7,7,6,9,10,8,11,11,13,14,14,7,13,19
Gene_188,13,8,10,8,10,4,14,13,13,12,9,10,12,5,7,14,15,8,11,10,8,6,17,6,15,7,17,8,14,9,16,9,9,12,7,7,12,12,11,8,11,7,9,1,10,13,11,14,13,19
Gene_189,10,10,4,7,6,8,10,8,7,11,13,11,12,9,9,13,8,9,8,11,9,11,12,7,10,4,8,6,13,6,11,14,9,8,12,15,9,6,8,14,10,3,15,10,10,13,9,5,3,12
Gene_190,5,12,10,7,8,14,12,10,6,16,9,15,12,7,4,13,9,12,8,9,10,17,7,9,9,9,12,11,11,12,10,7,11,15,10,14,6,5,6,16,8,10,8,12,12,14,14,13,12,9
Gene_191,12,8,17,16,9,10,8,10,18,14,6,8,11,13,10,11,5,13,10,11,9,9,8,10,15,8,10,11,12,14,11,11,17,16,3,7,6,6,9,10,7,6,9,7,6,9,4,16,16,9
Gene_192,11,5,12,9,13,11,11,13,13,9,9,12,10,6,24,10,9,9,10,6,18,11,7,15,9,4,14,8,10,8,12,7,8,8,11,10,13,14,6,14,12,10,4,18,16,10,11,7,4,9
Gene_193,5,9,11,10,8,10,9,5,12,14,10,9,8,12,6,6,12,12,10,11,6,17,9,13,14,6,10,10,10,9,12,9,12,9,11,14,20,12,12,17,7,7,13,12,6,15,8,13,4,9
Gene_194,11,12,2,9,9,7,11,7,10,12,9,8,6,11,14,7,13,14,8,15,9,9,5,10,10,9,11,13,8,14,10,5,11,8,9,16,14,14,10,20,7,9,12,14,9,11,7,12,14,15
Gene_195,8,11,9,15,12,10,8,12,11,6,15,9,9,12,10,9,5,20,11,11,12,11,6,6,5,10,4,8,11,7,13,9,13,10,8,12,15,10,15,8,9,10,10,9,18,10,10,11,14,7
Gene_196,8,9,17,11,13,8,8,12,9,8,13,4,11,14,15,12,9,14,12,10,8,9,14,5,11,9,6,12,4,18,6,9,7,7,10,6,5,11,13,4,13,5,7,7,12,11,9,9,2,14
Gene_197,7,10,13,7,11,16,17,14,12,7,8,8,11,13,11,5,8,16,17,7,8,12,10,17,17,8,1,6,8,6,15,2,10,15,9,14,10,9,8,15,8,12,13,10,7,12,17,7,16,12
Gene_198,9,9,14,13,7,10,11,9,15,10,8,7,10,18,12,9,14,17,11,10,6,19,11,4,6,12,8,8,11,3,12,12,5,7,13,11,6,8,8,22,13,10,12,12,9,8,13,6,15,7
Gene_199,12,9,7,14,14,16,5,7,10,11,8,3,13,12,12,10,9,10,9,11,6,12,9,9,18,6,8,10,11,9,12,20,7,19,11,7,10,11,9,12,9,9,15,9,9,13,11,2,9,9
Gene_200,10,9,8,20,8,6,16,9,13,3,9,10,12,9,14,8,12,13,15,5,11,12,11,9,11,7,9,7,18,6,6,10,5,7,8,7,6,7,10,17,3,14,7,10,9,5,5,11,8,14
Gene_201,13,8,16,12,10,5,12,14,13,8,20,10,6,15,14,15,6,9,14,3,11,16,14,9,11,8,13,11,9,14,12,7,7,9,14,10,11,6,8,15,11,9,8,9,15,11,11,4,8,7
Gene_202,10,5,11,11,8,13,7,4,9,14,15,3,12,6,9,8,10,15,10,7,3,8,14,7,11,11,8,8,10,12,10,16,10,7,5,11,10,9,12,11,12,4,3,12,7,15,4,13,10,8
Gene_203,6,13,9,10,11,11,5,14,10,11,10,9,10,16,15,11,18,13,13,15,16,10,10,4,9,11,10,13,10,17,12,9,8,9,15,19,14,15,12,9,5,6,12,7,8,7,7,7,11,5
Gene_204,13,8,11,9,4,16,9,12,4,12,12,15,6,6,5,11,12,14,13,8,13,12,7,5,8,8,12,12,3,8,7,7,7,13,11,5,8,5,9,5,13,10,16,12,7,6,10,9,13,5
Gene_205,12,12,11,8,12,14,11,10,14,6,13,12,10,12,11,12,17,11,9,7,9,10,13,6,4,13,9,5,10,8,7,12,16,11,11,12,12,16,5,6,11,8,14,7,8,8,4,12,7,8
Gene_206,11,11,6,4,4,9,11,10,10,8,9,10,16,22,4,6,10,12,8,12,8,10,9,7,8,7,9,7,9,12,11,10,13,11,6,5,8,14,8,12,17,10,14,12,12,20,7,6,8,16
Gene_207,13,15,9,17,17,10,11,5,10,9,12,9,10,12,8,11,11,15,9,11,9,7,7,13,11,8,7,10,11,9,8,9,10,5,6,9,10,8,9,12,11,5,16,7,10,8,15,10,13,11
Gene_208,8,15,10,3,7,12,3,8,6,17,16,18,7,11,9,15,17,10,13,15,16,18,13,11,12,12,20,9,12,12,10,9,14,11,8,10,9,13,8,7,9,10,7,9,10,8,6,8,10,12
Gene_209,13,7,11,11,6,9,18,15,13,11,6,10,6,9,14,15,4,7,11,13,8,12,9,7,8,11,6,10,9,12,13,7,9,10,8,12,6,9,7,13,12,14,6,13,9,9,11,9,17,13
Gene_210,4,8,6,17,11,10,12,10,8,12,12,10,11,5,12,9,14,8,14,15,11,10,13,9,9,11,9,8,7,6,14,9,8,11,10,6,8,11,15,6,5,13,10,12,11,13,12,12,6,10
Gene_211,9,10,10,5,12,10,14,16,14,17,10,6,8,7,9,10,7,11,12,12,7,14,4,4,6,5,9,15,11,7,13,7,15,4,12,12,8,12,10,11,9,9,10,6,8,6,10,8,6,4
Gene_212,4,8,8,12,9,11,11,13,4,9,9,17,12,9,11,9,9,6,17,10,12,7,13,16,9,12,4,14,9,9,12,11,13,7,7,9,7,10,15,12,12,13,14,5,11,13,13,6,10,9
Gene_213,12,16,15,7,8,13,7,10,9,17,15,8,8,13,10,9,9,13,4,11,10,11,6,4,15,11,17,15,9,15,8,10,10,12,10,13,10,16,10,11,10,12,14,8,7,8,9,7,15,10
Gene_214,8,7,11,9,12,14,11,18,5,7,14,6,11,12,5,8,11,11,14,13,12,10,8,7,15,8,15,13,10,8,15,6,8,10,6,8,9,8,14,5,19,8,7,11,10,11,7,11,10,12
Gene_215,9,9,6,11,10,14,14,8,5,7,13,8,7,10,5,8,6,10,17,10,11,12,8,9,7,8,17,10,9,7,13,15,8,11,8,11,7,14,6,10,7,14,9,11,12,8,13,12,6,4
Gene_216,10,6,16,14,8,10,10,14,8,7,11,15,9,11,5,8,8,10,11,5,8,11,11,11,11,13,9,10,13,11,6,6,8,10,11,10,7,9,18,7,13,14,13,7,11,8,10,14,11,5
Gene_217,8,6,11,8,12,15,11,6,12,7,10,14,8,11,10,14,11,11,9,11,13,5,6,11,9,9,4,9,10,12,16,10,28,11,10,19,5,9,6,12,12,8,8,11,4,4,14,9,13,10
Gene_218,7,11,8,14,7,16,11,17,8,11,14,11,6,18,10,10,13,8,19,7,9,10,4,7,9,6,7,9,13,2,2,12,12,8,10,14,9,11,13,6,10,9,11,7,13,10,9,11,9,4
Gene_219,11,15,13,7,7,11,14,13,10,14,8,18,6,11,8,6,9,9,11,13,10,12,5,5,7,7,13,4,10,8,9,12,8,6,12,14,11,8,10,10,8,7,7,6,7,17,8,8,11,11
Gene_220,7,15,7,11,7,8,5,14,11,10,13,9,7,13,12,12,10,15,7,6,5,5,9,8,6,15,10,7,8,9,15,6,7,8,7,8,10,5,10,8,5,12,5,6,15,5,7,11,4,14
Gene_221,11,9,11,16,10,10,11,16,15,13,14,11,13,9,16,4,10,7,16,11,7,6,6,11,8,5,9,9,11,11,5,8,7,11,11,6,10,7,12,22,7,9,12,8,10,14,14,6,17,6
Gene_222,16,6,13,10,6,11,9,11,8,6,16,8,14,5,14,13,7,15,8,12,10,7,15,14,13,13,8,9,5,9,10,11,12,3,8,11,12,6,8,12,7,5,11,10,11,12,6,6,9,6
Gene_223,6,11,15,14,13,7,10,9,6,16,6,9,13,5,13,12,9,9,10,12,8,7,12,16,7,16,13,9,9,9,10,6,11,8,15,12,13,10,7,13,10,14,9,11,10,5,9,12,9,8
Gene_224,9,7,13,8,12,7,9,6,14,10,15,13,9,14,10,18,11,9,6,9,12,12,6,13,8,10,11,9,11,15,14,8,13,7,9,17,8,11,12,12,10,10,11,11,10,16,9,4,13,11
Gene_225,8,16,11,8,15,7,10,11,7,8,16,9,9,9,14,13,5,15,10,12,8,10,5,7,11,6,9,14,12,9,13,11,9,10,10,14,7,9,11,11,10,5,20,7,13,15,7,16,11,17
Gene_226,15,19,10,14,8,10,9,13,9,8,12,10,8,10,15,11,6,10,7,7,14,11,8,11,13,6,6,14,8,10,15,13,16,7,14,17,5,10,12,4,14,6,14,10,10,8,4,11,4,9
Gene_227,7,8,7,9,12,11,10,13,6,8,10,16,11,4,7,13,15,17,10,8,9,7,8,3,10,14,9,7,14,10,8,14,6,11,10,9,9,12,9,10,8,7,9,12,8,11,8,13,9,8
Gene_228,7,7,14,7,11,8,16,6,7,7,12,6,11,8,5,6,18,7,5,13,11,7,10,12,5,9,13,11,12,14,12,9,10,11,10,9,13,8,6,13,9,9,19,8,11,17,8,6,9,8
Gene_229,6,11,17,7,10,15,15,5,15,8,14,7,16,13,8,8,4,13,7,6,6,18,10,9,7,18,6,9,3,10,13,9,6,10,9,12,7,14,19,11,14,9,10,8,14,11,8,10,8,9
Gene_230,6,11,15,12,6,7,6,11,14,11,7,12,6,11,13,5,4,5,8,14,8,9,9,17,10,12,9,10,14,9,15,19,7,7,14,6,9,7,10,9,10,7,12,10,6,9,8,10,9,16
Gene_231,10,8,8,16,11,12,6,11,9,11,6,7,10,14,8,12,9,5,9,12,12,9,8,6,11,9,13,13,16,14,6,8,9,12,13,7,12,7,8,14,8,9,9,3,10,9,7,14,9,5
Gene_232,11,10,7,12,9,14,8,5,7,10,10,9,9,8,12,4,17,9,8,11,9,10,11,12,10,11,8,11,12,9,7,13,12,6,7,7,14,11,8,10,4,8,8,8,9,7,9,6,14,14
Gene_233,10,7,8,11,8,13,7,13,10,15,9,12,18,13,9,9,9,12,10,5,12,12,14,10,7,13,11,12,6,8,10,10,10,16,2,8,10,15,5,8,7,11,9,14,8,7,14,9,4,11
Gene_234,10,2,3,13,8,7,10,13,17,10,10,17,13,11,18,6,6,7,7,7,7,12,9,11,13,11,5,11,15,8,13,8,12,9,9,12,8,7,7,9,9,8,14,10,8,14,12,9,8,12
Gene_235,10,12,10,12,11,9,9,12,7,15,12,11,9,9,7,7,12,9,10,12,8,6,12,14,12,10,11,8,12,7,5,5,7,12,14,13,5,12,8,9,9,8,14,6,2,11,9,18,10,8
Gene_236,11,15,14,12,6,10,12,12,11,13,10,11,8,7,12,12,13,7,6,6,8,12,9,11,7,9,10,6,12,9,10,10,11,5,7,14,8,12,19,14,11,11,9,12,6,11,4,6,10,9
Gene_237,11,5,9,8,12,14,10,12,11,9,14,8,7,8,15,5,14,6,6,11,11,7,8,15,9,11,12,13,4,15,10,9,7,13,8,9,7,10,12,7,13,10,23,14,14,7,12,11,13,12
Gene_238,8,7,13,7,14,13,10,15,12,13,5,11,15,9,9,12,11,8,17,10,7,12,8,5,12,6,5,9,9,7,11,11,14,12,12,7,7,6,12,10,17,8,13,10,12,6,12,6,13,9
Gene_239,6,12,13,13,8,11,9,5,9,9,5,6,11,10,9,6,11,10,14,11,6,9,18,10,6,10,5,11,11,5,9,12,8,3,13,8,8,11,12,8,7,16,13,6,9,9,8,15,6,16
Gene_240,14,10,11,15,5,5,15,9,12,14,9,11,9,6,9,13,8,7,12,14,12,12,10,8,13,14,12,5,14,7,12,4,14,4,8,9,14,10,13,15,11,12,10,6,11,10,10,11,14,12
Gene_241,6,6,9,10,9,10,13,9,7,6,9,14,4,6,3,7,8,8,13,12,11,12,3,11,10,11,13,8,9,12,9,14,11,9,8,10,12,9,9,8,11,4,10,16,7,15,11,8,5,12
Gene_242,4,12,16,11,4,8,4,9,7,10,9,7,6,11,8,8,5,12,12,16,5,11,9,14,15,11,9,12,7,6,4,11,7,7,11,11,13,8,9,10,11,10,8,8,9,13,4,8,8,11
Gene_243,17,10,12,10,8,6,9,13,7,3,7,12,7,10,7,7,10,10,14,6,10,13,7,13,7,9,8,10,4,7,3,11,2,14,13,9,7,9,13,5,11,9,7,11,13,10,9,10,8,9
Gene_244,8,9,11,10,6,9,8,10,16,12,9,18,7,13,5,11,7,7,5,12,12,9,5,11,12,6,19,17,4,11,10,11,8,11,5,7,10,11,18,4,9,11,9,10,8,13,6,9,14,3
Gene_245,11,15,13,6,9,15,9,8,11,6,3,10,11,12,19,9,8,13,10,6,12,11,4,10,12,7,5,9,12,10,9,12,16,9,9,3,9,10,5,11,7,12,8,9,17,9,10,12,7,15
Gene_246,11,5,8,10,4,7,6,18,10,10,7,11,15,13,4,10,11,11,10,6,10,7,7,11,13,10,7,12,6,12,7,4,13,9,12,14,6,8,8,9,10,4,12,10,8,14,16,6,9,9
Gene_247,12,10,12,13,11,10,8,10,7,5,8,5,11,7,11,8,8,13,19,11,14,4,9,15,5,13,14,8,10,11,10,7,7,16,11,8,8,14,12,10,12,6,12,4,9,5,8,11,17,15
Gene_248,7,9,7,16,11,10,10,10,10,8,9,8,13,8,6,6,9,7,7,12,9,10,9,10,10,11,7,6,10,8,11,7,8,13,13,12,6,10,13,16,8,19,11,14,7,7,7,12,12,9
Gene_249,10,4,14,7,5,7,7,8,9,8,7,8,7,11,6,6,9,5,11,12,7,10,9,4,11,5,11,9,10,15,14,7,15,5,11,11,14,8,6,9,6,6,10,7,9,5,8,8,10,10
Gene_250,5,11,7,8,9,10,5,5,11,13,11,9,8,13,9,17,12,9,6,7,8,13,9,12,6,13,12,7,12,5,7,5,5,5,11,9,10,10,5,6,11,12,10,16,8,11,8,7,10,8
Gene_251,12,15,12,5,8,10,8,10,13,8,10,8,4,5,8,14,12,8,6,9,9,18,13,10,8,9,13,5,6,5,11,4,7,12,11,14,7,5,3,4,9,14,16,10,9,5,8,11,5,12
Gene_252,6,9,6,16,15,8,14,4,2,6,10,11,10,5,11,13,10,16,10,12,11,10,6,13,11,14,13,11,15,4,14,9,12,5,9,10,13,12,13,6,7,13,11,11,7,13,11,9,9,5
Gene_253,7,9,12,13,5,13,9,9,13,11,8,10,9,15,10,6,10,14,7,12,13,10,6,6,14,13,7,15,7,7,14,8,11,11,7,9,10,14,10,4,4,11,13,4,6,6,11,12,7,9
Gene_254,15,11,8,3,6,11,15,17,12,7,12,12,15,18,16,7,13,8,9,13,11,12,6,6,10,9,9,14,8,11,6,11,6,9,10,11,14,7,11,8,13,3,13,14,17,6,9,6,13,9
