	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Ensembl	hgnc	wikigene_desc
ENSG00000173083	96.0583298995	-1.829079219	0.2863261267	-6.3880975164	1.67962223416592e-10	2.5601969103410602e-09	ENSG00000173083	HPSE	heparanase
ENSG00000254285	33.8589029393	-1.8253741889000001	0.4009420945	-4.5527127581	5.29585586323254e-06	3.37579352531038e-05	ENSG00000254285	KRT8P3	
ENSG00000233355	22.8984907466	-1.8229282855000002	0.3637032906	-5.0121303067	5.38307290903611e-07	4.28094154042832e-06	ENSG00000233355	CHRM3-AS2	
ENSG00000078589	28.0841864546	-1.8208915970000001	0.37981390740000004	-4.7941677793	1.6335152203624e-06	1.16372467083405e-05	ENSG00000078589	P2RY10	P2Y receptor family member 10
ENSG00000259847	20.8513277014	-1.8181272904	0.3354887234	-5.4193394999	5.98196256732547e-08	5.84166796941264e-07	ENSG00000259847	LINC02126	
ENSG00000113088	39.4412045496	-1.8166776	0.3269864256	-5.5558196231	2.76312097364304e-08	2.87153562612301e-07	ENSG00000113088	GZMK	granzyme K
ENSG00000136842	1054.7974058904	-1.8162600341	0.1928638501	-9.4173171053	4.62760911332936e-21	3.1600680559713403e-19	ENSG00000136842	TMOD1	tropomodulin 1
ENSG00000005513	66.1501846794	-1.8132810583	0.253467006	-7.1539135875	8.43381686657085e-13	1.86108868316491e-11	ENSG00000005513	SOX8	SRY-box transcription factor 8
ENSG00000114923	413.5453772745	-1.8105509069	0.1482371546	-12.2138805978	2.62083914286674e-34	7.571805886753e-32	ENSG00000114923	SLC4A3	solute carrier family 4 member 3
ENSG00000164879	1129.7259053828	-1.8085791334999999	0.34816703790000003	-5.1945731115000005	2.05190125213258e-07	1.78709154866685e-06	ENSG00000164879	CA3	carbonic anhydrase 3
ENSG00000157734	54.8151848078	-1.8078312614	0.2353388924	-7.6818210673	1.5684281070822e-14	4.46265324589342e-13	ENSG00000157734	SNX22	sorting nexin 22
ENSG00000164764	200.5886866338	-1.8054724227999999	0.30343635210000003	-5.9500861059000005	2.68001460499415e-09	3.33527723476936e-08	ENSG00000164764	SBSPON	somatomedin B and thrombospondin type 1 domain containing
ENSG00000162631	59.038196785	-1.8014067257000002	0.3652781329	-4.9316029718	8.15575554715913e-07	6.23797503925095e-06	ENSG00000162631	NTNG1	netrin G1
ENSG00000186265	34.3315862051	-1.8013748909	0.2748464202	-6.5541144383	5.5973032119870394e-11	9.31841817534615e-10	ENSG00000186265	BTLA	B and T lymphocyte associated
ENSG00000184293	23.121061815	-1.8009476163	0.41433096880000003	-4.3466401305	1.38238747240694e-05	7.98053745515473e-05	ENSG00000184293	CLECL1	C-type lectin like 1
ENSG00000021300	92.0650303481	-1.7975471956	0.1616295422	-11.1214025089	9.87079395801257e-29	1.74871358242941e-26	ENSG00000021300	PLEKHB1	pleckstrin homology domain containing B1
ENSG00000151025	17.9932312309	-1.7967910266	0.29752952380000003	-6.0390343904	1.55039202429262e-09	2.03173843853392e-08	ENSG00000151025	GPR158	G protein-coupled receptor 158
ENSG00000269155	25.1579764431	-1.795084449	0.3173556898	-5.6563802274	1.54598774964286e-08	1.68302051887207e-07	ENSG00000269155	ENSG00000269155	
ENSG00000280119	17.5180529436	-1.7891037832	0.3993219374	-4.4803543598	7.45192143392981e-06	4.5657302645275e-05	ENSG00000280119	ENSG00000280119	ENSG00000280119
ENSG00000267322	20.9893147537	-1.7884761049	0.2609829663	-6.8528461089	7.23949550791534e-12	1.38583574050094e-10	ENSG00000267322	SNHG22	
ENSG00000127585	19.4499893102	-1.7883785412000002	0.30815496140000004	-5.8035039671	6.494321556441571e-09	7.61278804671762e-08	ENSG00000127585	FBXL16	F-box and leucine rich repeat protein 16
ENSG00000161381	1111.3870669304	-1.785500813	0.1548844583	-11.5279533681	9.538431354179471e-31	2.1580988240980297e-28	ENSG00000161381	PLXDC1	plexin domain containing 1
ENSG00000215218	159.5624405922	-1.7826793544	0.37120004240000004	-4.8024761601	1.5671548254077e-06	1.12155489582055e-05	ENSG00000215218	UBE2QL1	ubiquitin conjugating enzyme E2 Q family like 1
ENSG00000143061	248.8159052196	-1.7824190041999999	0.1906055482	-9.3513490076	8.65368550037354e-21	5.761675888712071e-19	ENSG00000143061	IGSF3	immunoglobulin superfamily member 3
ENSG00000205268	689.3683932904	-1.7820772889	0.1165387903	-15.2917091762	8.68407861064137e-53	6.79492967621809e-50	ENSG00000205268	PDE7A	phosphodiesterase 7A
ENSG00000211772	441.9221796935	-1.7818340088	0.2585454185	-6.8917640054	5.51047375986656e-12	1.07905304209107e-10	ENSG00000211772	TRBC2	
ENSG00000168490	297.3332828761	-1.7794320891000002	0.22764367170000002	-7.8167430532	5.4207595924696405e-15	1.6770419174133e-13	ENSG00000168490	PHYHIP	phytanoyl-CoA 2-hydroxylase interacting protein
ENSG00000137078	87.9277229303	-1.7770082628	0.2338191135	-7.5999272965	2.96297164168835e-14	8.12969480341738e-13	ENSG00000137078	SIT1	signaling threshold regulating transmembrane adaptor 1
ENSG00000127863	292.5744298208	-1.7758062519000002	0.15985405060000002	-11.1089224516	1.13521081982977e-28	1.99234803603582e-26	ENSG00000127863	TNFRSF19	TNF receptor superfamily member 19
ENSG00000157303	78.2927041565	-1.7729393746	0.2292554201	-7.7334676485	1.0465597522749801e-14	3.09014867735406e-13	ENSG00000157303	SUSD3	sushi domain containing 3
ENSG00000175130	1197.3748474096	-1.7724311164	0.1378413489	-12.8584864494	7.70710008967734e-38	2.95370678742961e-35	ENSG00000175130	MARCKSL1	MARCKS like 1
ENSG00000160200	32.937507469	-1.7718091283000001	0.4115308555	-4.3054101648	1.6667662079251e-05	9.43061241898932e-05	ENSG00000160200	CBS	cystathionine-beta-synthase
ENSG00000211751	279.7172411836	-1.7711542126	0.27037661500000004	-6.5506930482	5.7270668510147e-11	9.51527977445345e-10	ENSG00000211751	TRBC1	
ENSG00000174946	40.1008103622	-1.7612418765000002	0.26851021480000004	-6.55931052	5.4057132524738395e-11	9.03148480144183e-10	ENSG00000174946	GPR171	G protein-coupled receptor 171
ENSG00000125398	369.3622989104	-1.7564893898	0.2409098633	-7.2910646562	3.07515133604267e-13	7.3006658583496e-12	ENSG00000125398	SOX9	SRY-box transcription factor 9
ENSG00000149633	449.8531675678	-1.7559879767000002	0.1957003139	-8.9728419027	2.88960687794421e-19	1.6295473742016302e-17	ENSG00000149633	KIAA1755	KIAA1755
ENSG00000248491	15.4900754104	-1.7541186149999999	0.4153314605	-4.223418599	2.40624303058029e-05	0.0001310523140117	ENSG00000248491	ENSG00000248491	
ENSG00000146950	35.7688992084	-1.7481606194000001	0.2326237826	-7.5149694483000005	5.69242260795459e-14	1.4929888848432799e-12	ENSG00000146950	SHROOM2	shroom family member 2
ENSG00000224957	13.0885221628	-1.7464842757999999	0.3036533971	-5.751571668	8.841758391977271e-09	1.00752051482367e-07	ENSG00000224957	LINC01266	
ENSG00000164112	13.9445092842	-1.7462764024	0.3682965211	-4.7414957854	2.12146071821186e-06	1.47606190542055e-05	ENSG00000164112	TMEM155	transmembrane protein 155
ENSG00000235770	35.736524294	-1.7447330261	0.30361612250000003	-5.746509809	9.11043482438537e-09	1.03562261239184e-07	ENSG00000235770	LINC00607	
ENSG00000163531	746.3807595578	-1.7408506618000001	0.1632189724	-10.6657371745	1.47226872161625e-26	1.97483816594511e-24	ENSG00000163531	NFASC	neurofascin
ENSG00000160654	79.2927890098	-1.7376184787	0.27352787440000004	-6.3526193897	2.11679016882899e-10	3.18009620643517e-09	ENSG00000160654	CD3G	CD3g molecule
ENSG00000188257	4572.8998233903	-1.7375010627	0.3232634526	-5.3748762767	7.66352858264812e-08	7.33877630053794e-07	ENSG00000188257	PLA2G2A	phospholipase A2 group IIA
ENSG00000230596	11.4112194343	-1.7365108488	0.39347599200000005	-4.4132574388	1.01826792068784e-05	6.04172299608116e-05	ENSG00000230596	GPAA1P2	
ENSG00000174500	27.1510765794	-1.7358729361	0.2730703345	-6.3568711684	2.05904539297854e-10	3.0983023585532104e-09	ENSG00000174500	GCSAM	germinal center associated signaling and motility
ENSG00000206579	37.1368355546	-1.7281474446	0.2851824243	-6.0597964584	1.36293907096546e-09	1.80243893053946e-08	ENSG00000206579	XKR4	XK related 4
ENSG00000104290	60.5586335248	-1.7259505397	0.1968177592	-8.7692825424	1.7980832058590498e-18	9.30198471703227e-17	ENSG00000104290	FZD3	frizzled class receptor 3
ENSG00000124203	75.3407533615	-1.7242710731000002	0.2844266887	-6.0622689133	1.34214565263104e-09	1.77619120583215e-08	ENSG00000124203	ZNF831	zinc finger protein 831
ENSG00000124171	60.0297680554	-1.724075434	0.2637179293	-6.537573834	6.25247807686667e-11	1.03176876806221e-09	ENSG00000124171	PARD6B	par-6 family cell polarity regulator beta
ENSG00000169583	32.9075969831	-1.7233780008	0.3464862087	-4.9738718529	6.56287014377132e-07	5.12449640041088e-06	ENSG00000169583	CLIC3	chloride intracellular channel 3
ENSG00000197705	36.7071243431	-1.7210277396	0.321011206	-5.3612699722	8.2638905009455e-08	7.86955373819754e-07	ENSG00000197705	KLHL14	kelch like family member 14
ENSG00000144847	15.7728166511	-1.7204891321	0.2913631143	-5.9049654797	3.5272059964565504e-09	4.31514015683763e-08	ENSG00000144847	IGSF11	immunoglobulin superfamily member 11
ENSG00000156103	106.1037535075	-1.7185236395999999	0.21535140090000002	-7.9800903659	1.46226196779172e-15	4.9746046183262e-14	ENSG00000156103	MMP16	matrix metallopeptidase 16
ENSG00000249859	51.2940847605	-1.7159290718	0.2320006104	-7.3962265404	1.40108899520855e-13	3.5222289479278797e-12	ENSG00000249859	PVT1	
ENSG00000167286	127.3370743755	-1.7157431761000002	0.23691305740000002	-7.2420794147	4.41856975806506e-13	1.0256652841372498e-11	ENSG00000167286	CD3D	CD3d molecule
ENSG00000185522	31.3897058503	-1.7132901298	0.26459041	-6.4752540731	9.4652534130114e-11	1.5127488837697102e-09	ENSG00000185522	LMNTD2	lamin tail domain containing 2
ENSG00000259834	69.7635744706	-1.7094078701000002	0.2811157775	-6.0807966222	1.19586900138695e-09	1.59724210363055e-08	ENSG00000259834	ENSG00000259834	
ENSG00000197580	129.0400091426	-1.7037724586	0.19723932060000002	-8.6380973822	5.7156889074558795e-18	2.79518026023734e-16	ENSG00000197580	BCO2	beta-carotene oxygenase 2
ENSG00000116690	3759.6985404745	-1.7005209041	0.5445904261	-3.1225684893	0.0017928038695761	0.0057688594699744	ENSG00000116690	PRG4	proteoglycan 4
ENSG00000251179	14.8520319412	-1.7002907659000002	0.24925404250000002	-6.8215173102	9.00839118336195e-12	1.70877351547832e-10	ENSG00000251179	TMEM92-AS1	
ENSG00000172116	71.9263510608	-1.6952326813	0.3303703509	-5.1313099885	2.87732591980791e-07	2.43740949387448e-06	ENSG00000172116	CD8B	CD8b molecule
ENSG00000132182	399.4295260823	-1.6932320307	0.2369359326	-7.146370803	8.91021712223428e-13	1.95473092685091e-11	ENSG00000132182	NUP210	nucleoporin 210
ENSG00000111371	519.7256170014	-1.6917030717000001	0.2051055986	-8.2479614576	1.61119313064991e-16	6.238473360922621e-15	ENSG00000111371	SLC38A1	solute carrier family 38 member 1
ENSG00000204065	25.4467452953	-1.6912709455	0.1821878204	-9.2831175103	1.6459083429260802e-20	1.05489804681941e-18	ENSG00000204065	TCEAL5	transcription elongation factor A like 5
ENSG00000116824	219.984640091	-1.6900562847	0.2516502317	-6.7158940144	1.8691662090569597e-11	3.37510309998852e-10	ENSG00000116824	CD2	CD2 molecule
ENSG00000162676	54.8593859518	-1.6884674704	0.27438976860000003	-6.1535365512	7.57739029255313e-10	1.04322443038017e-08	ENSG00000162676	GFI1	growth factor independent 1 transcriptional repressor
ENSG00000133710	60.9668497447	-1.687154655	0.3974827387	-4.2445985468	2.18985114535451e-05	0.0001202433177152	ENSG00000133710	SPINK5	serine peptidase inhibitor, Kazal type 5
ENSG00000153898	62.4502812297	-1.6861449502	0.2897489353	-5.8193309615	5.908364195410751e-09	6.97818686953576e-08	ENSG00000153898	MCOLN2	mucolipin 2
ENSG00000279452	15.8842224103	-1.6860398206	0.2415900319	-6.9789295829	2.974375022984e-12	6.00599876952866e-11	ENSG00000279452	ENSG00000279452	ENSG00000279452
ENSG00000053524	13.0102780345	-1.684174389	0.2595346485	-6.4892082764	8.62886114083625e-11	1.3921081044996901e-09	ENSG00000053524	MCF2L2	MCF.2 cell line derived transforming sequence-like 2
ENSG00000283031	114.1789446526	-1.6746675439	0.2216572102	-7.5552134883	4.1817337364416e-14	1.1218396833805299e-12	ENSG00000283031	ENSG00000283031	ENSG00000283031
ENSG00000276170	21.5653865071	-1.6708713347000002	0.2611508099	-6.3981089525	1.57313025714366e-10	2.40960955129697e-09	ENSG00000276170	ENSG00000276170	ENSG00000276170
ENSG00000198851	295.4310216391	-1.6654537168	0.2477452168	-6.7224454947000005	1.78699593978786e-11	3.23294766409212e-10	ENSG00000198851	CD3E	CD3e molecule
ENSG00000137573	1592.7816966033	-1.6651172276000001	0.2136975827	-7.791932912	6.59917722409014e-15	2.00852429645363e-13	ENSG00000137573	SULF1	sulfatase 1
ENSG00000162894	248.3061651637	-1.665035385	0.26892467400000003	-6.1914563677	5.96108401443142e-10	8.39154398103505e-09	ENSG00000162894	FCMR	Fc fragment of IgM receptor
ENSG00000229771	24.6718623949	-1.6637981595	0.4095340885	-4.0626609752	4.85164681921579e-05	0.0002433468900054	ENSG00000229771	ENSG00000229771	
ENSG00000141448	300.3661458933	-1.6635842071	0.1928997465	-8.624087057	6.460595975929519e-18	3.14309667958499e-16	ENSG00000141448	GATA6	GATA binding protein 6
ENSG00000146285	64.1576298897	-1.6619433923	0.2832968761	-5.8664374116	4.452582299853971e-09	5.35993865442036e-08	ENSG00000146285	SCML4	Scm polycomb group protein like 4
ENSG00000139044	37.8055379908	-1.661527821	0.2503781913	-6.6360724654	3.2215151075372e-11	5.59942339205748e-10	ENSG00000139044	B4GALNT3	beta-1,4-N-acetyl-galactosaminyltransferase 3
ENSG00000223561	59.134150137	-1.6609838809	0.2465853041	-6.7359402735	1.62873185288455e-11	2.9608862986756e-10	ENSG00000223561	ENSG00000223561	uncharacterized LOC646588
ENSG00000247982	220.3799426224	-1.6606205612	0.2635120693	-6.3018766677	2.94063126205317e-10	4.314227692976291e-09	ENSG00000247982	LINC00926	
ENSG00000158220	17.7301802907	-1.6600491177999999	0.2509836875	-6.6141713603	3.73638727417486e-11	6.43131224763792e-10	ENSG00000158220	ESYT3	extended synaptotagmin 3
ENSG00000250968	20.6117261177	-1.6583076306	0.2873436244	-5.7711655659000005	7.872507569962791e-09	9.08652855908613e-08	ENSG00000250968	LINC02382	
ENSG00000179399	23.5823814711	-1.6492997436999999	0.3747180646	-4.4014417759	1.0753392581195e-05	6.3587784674426e-05	ENSG00000179399	GPC5	glypican 5
ENSG00000160185	57.5936820899	-1.6491227415	0.2891879305	-5.7025987866	1.17994486951223e-08	1.31346678746711e-07	ENSG00000160185	UBASH3A	ubiquitin associated and SH3 domain containing A
ENSG00000091490	724.8862901602	-1.6437499828000002	0.2036217626	-8.072565337	6.883631435192069e-16	2.45289781255165e-14	ENSG00000091490	SEL1L3	SEL1L family member 3
ENSG00000269399	20.7694019159	-1.6423213257	0.2116261717	-7.7604830830000004	8.460648978667441e-15	2.53401159761397e-13	ENSG00000269399	ENSG00000269399	
ENSG00000276980	28.4490626077	-1.6413977392999999	0.33216517560000003	-4.9415106093	7.7519597404334e-07	5.9563851049754e-06	ENSG00000276980	ENSG00000276980	ENSG00000276980
ENSG00000197993	26.6303213466	-1.6363557837	0.3298944694	-4.9602401243	7.04060936937061e-07	5.45443908198889e-06	ENSG00000197993	KEL	Kell metallo-endopeptidase (Kell blood group)
ENSG00000185272	14.0361505979	-1.6356796576	0.22805859850000001	-7.1721902546	7.38072707961146e-13	1.6599122614134598e-11	ENSG00000185272	RBM11	RNA binding motif protein 11
ENSG00000116990	26.4943810833	-1.6352563753	0.2434128317	-6.7180368596	1.84189108030228e-11	3.32905414793037e-10	ENSG00000116990	MYCL	MYCL proto-oncogene, bHLH transcription factor
ENSG00000129521	65.5278255031	-1.6347515525	0.2174942483	-7.5162978578	5.63490956058181e-14	1.47997156137295e-12	ENSG00000129521	EGLN3	egl-9 family hypoxia inducible factor 3
ENSG00000026751	243.3534704314	-1.6317028051	0.2785054741	-5.8587818088	4.6627483699956604e-09	5.59857747059773e-08	ENSG00000026751	SLAMF7	SLAM family member 7
ENSG00000253764	11.9564526883	-1.6316566256	0.368800634	-4.4242240256	9.67895430220072e-06	5.77752965165376e-05	ENSG00000253764	ENSG00000253764	
ENSG00000117091	100.2368287428	-1.6316482790000002	0.2734263812	-5.9674135014	2.4104399640600903e-09	3.02577888269281e-08	ENSG00000117091	CD48	CD48 molecule
ENSG00000157445	85.4477465754	-1.6314953213	0.16245682990000002	-10.0426391576	9.89895887491053e-24	9.2026014213834e-22	ENSG00000157445	CACNA2D3	calcium voltage-gated channel auxiliary subunit alpha2delta 3
ENSG00000113448	381.8673704551	-1.6258794350999999	0.14315970420000002	-11.3571025047	6.837494568651719e-30	1.41100341213968e-27	ENSG00000113448	PDE4D	phosphodiesterase 4D
ENSG00000204403	37.9160019872	-1.6226176447	0.215752555	-7.5207343182	5.4469437191174105e-14	1.43461649510948e-12	ENSG00000204403	CASP12	caspase 12 (gene/pseudogene)
ENSG00000277481	22.645257010999998	-1.6225902797	0.2632460998	-6.1637770931	7.1029913835935e-10	9.80787317591929e-09	ENSG00000277481	ENSG00000277481	ENSG00000277481
ENSG00000179082	13.601691476	-1.6203436891	0.2678960207	-6.0484052173	1.4628664282043701e-09	1.92240508434219e-08	ENSG00000179082	C9orf106	
ENSG00000102934	272.3559404674	-1.6184548028	0.1878010565	-8.6179217126	6.81802690534582e-18	3.2914068703210597e-16	ENSG00000102934	PLLP	plasmolipin
ENSG00000122733	64.4627624074	-1.6178747453	0.24689295890000001	-6.5529399959	5.641518959971979e-11	9.38370988036438e-10	ENSG00000122733	PHF24	PHD finger protein 24
ENSG00000183092	60.2492667478	-1.6144237046	0.254459698	-6.3445163108	2.2312534773604e-10	3.3387019164423e-09	ENSG00000183092	BEGAIN	brain enriched guanylate kinase associated
ENSG00000167306	91.9889528944	-1.6080811156	0.2785098836	-5.7738745033	7.74691450377724e-09	8.9636048962682e-08	ENSG00000167306	MYO5B	myosin VB
ENSG00000130226	52.45629677	-1.6078929016	0.3645760595	-4.4103085205	1.03223446377024e-05	6.12072339600293e-05	ENSG00000130226	DPP6	dipeptidyl peptidase like 6
ENSG00000117155	146.5170115229	-1.6019354746999999	0.1560292953	-10.2668891239	9.935697064084701e-25	1.06012758617299e-22	ENSG00000117155	SSX2IP	SSX family member 2 interacting protein
ENSG00000242258	19.3791808778	-1.6001893326999999	0.32738229280000003	-4.8878310405	1.01952968937585e-06	7.60959778886691e-06	ENSG00000242258	LINC00996	
ENSG00000163462	40.5298106582	-1.6001651337	0.23982763540000002	-6.6721465652	2.5208861476662596e-11	4.48292812187733e-10	ENSG00000163462	TRIM46	tripartite motif containing 46
ENSG00000122025	32.8570360672	-1.5948658412999999	0.2837037039	-5.6215897752	1.89208129487151e-08	2.01997695488301e-07	ENSG00000122025	FLT3	fms related tyrosine kinase 3
ENSG00000168421	89.1548951604	-1.5927069139	0.3025787689	-5.2637761712	1.41126250833507e-07	1.26501664171954e-06	ENSG00000168421	RHOH	ras homolog family member H
ENSG00000138795	74.5027282889	-1.5923426887	0.2969555202	-5.3622262612	8.22024833044035e-08	7.8319656721126e-07	ENSG00000138795	LEF1	lymphoid enhancer binding factor 1
ENSG00000182022	838.5411585014	-1.5900259377000001	0.1797948878	-8.8435547692	9.272052192958731e-19	4.91864034269977e-17	ENSG00000182022	CHST15	carbohydrate sulfotransferase 15
ENSG00000214900	46.3390569366	-1.5892715783	0.1827917672	-8.6944374081	3.48552479324706e-18	1.75481689255728e-16	ENSG00000214900	LINC01588	
ENSG00000023445	531.89541402	-1.5891415731	0.1858712697	-8.5496891228	1.23420482746275e-17	5.75114949253671e-16	ENSG00000023445	BIRC3	baculoviral IAP repeat containing 3
ENSG00000203727	41.2722176688	-1.5884063118	0.2920061603	-5.4396328833	5.33904741623282e-08	5.25359053242201e-07	ENSG00000203727	SAMD5	sterile alpha motif domain containing 5
ENSG00000100298	25.1664033448	-1.5857615955000002	0.275950309	-5.7465476357	9.10839790898252e-09	1.03562261239184e-07	ENSG00000100298	APOBEC3H	apolipoprotein B mRNA editing enzyme catalytic subunit 3H
ENSG00000002587	91.9030495396	-1.5839666531	0.20227055970000002	-7.8309302934	4.84273130993113e-15	1.50565647796683e-13	ENSG00000002587	HS3ST1	heparan sulfate-glucosamine 3-sulfotransferase 1
ENSG00000123560	296.6967431134	-1.5815797091000001	0.2570969526	-6.1516859426	7.666357410542531e-10	1.05392771458696e-08	ENSG00000123560	PLP1	proteolipid protein 1
ENSG00000104415	27.4575493811	-1.5801509819000001	0.288611609	-5.4750083937	4.37490873338353e-08	4.38401339937082e-07	ENSG00000104415	CCN4	cellular communication network factor 4
ENSG00000065320	399.5720705086	-1.5785896821	0.1792695127	-8.8056784376	1.30063436632101e-18	6.82251753216265e-17	ENSG00000065320	NTN1	netrin 1
ENSG00000114948	148.7527849663	-1.577076592	0.20715079050000001	-7.6131816262	2.67429562852162e-14	7.38538200117756e-13	ENSG00000114948	ADAM23	ADAM metallopeptidase domain 23
ENSG00000146521	30.2933942989	-1.5748941389	0.21479705100000002	-7.3320100616	2.26726069881072e-13	5.50951844669153e-12	ENSG00000146521	LINC01558	
ENSG00000172794	223.0199684262	-1.5741153173	0.1786525445	-8.8110433652	1.23986388528572e-18	6.52196187724946e-17	ENSG00000172794	RAB37	RAB37, member RAS oncogene family
ENSG00000121895	36.1256314764	-1.5726909286000001	0.2574207414	-6.109418067	9.99950742495776e-10	1.35386265272734e-08	ENSG00000121895	TMEM156	transmembrane protein 156
ENSG00000233806	15.1385928829	-1.5725097787	0.2581345805	-6.0918214675	1.1163314293855801e-09	1.49526304653579e-08	ENSG00000233806	LINC01237	
ENSG00000184613	113.4915070879	-1.5700820607	0.2394096832	-6.5581393367	5.448329063301849e-11	9.08651611720653e-10	ENSG00000184613	NELL2	neural EGFL like 2
ENSG00000248383	46.2648815553	-1.5685490474	0.3236541824	-4.8463734827	1.25738709118427e-06	9.22722633268831e-06	ENSG00000248383	PCDHAC1	protocadherin alpha subfamily C, 1
ENSG00000259129	49.7127443437	-1.5651682333	0.20347535090000002	-7.6921761106	1.44653317196046e-14	4.1283353246573597e-13	ENSG00000259129	LINC00648	
ENSG00000185985	107.2966389195	-1.5639651585	0.4861155593	-3.2172703146	0.0012941660303117	0.0043390722876671	ENSG00000185985	SLITRK2	SLIT and NTRK like family member 2
ENSG00000260711	116.5182767087	-1.5612041486	0.21198753310000001	-7.3646035963	1.7767403106382799e-13	4.3901850386153095e-12	ENSG00000260711	ENSG00000260711	
ENSG00000074706	55.3561077187	-1.5608514444	0.2391887412	-6.5256058317	6.772721607383209e-11	1.10691852972193e-09	ENSG00000074706	IPCEF1	interaction protein for cytohesin exchange factors 1
ENSG00000280135	30.5109506978	-1.560245362	0.3210802844	-4.8593620906	1.17764580372106e-06	8.69612765082082e-06	ENSG00000280135	ENSG00000280135	ENSG00000280135
ENSG00000214837	131.4936278512	-1.5576329081	0.1967005732	-7.9188020801	2.39809717755845e-15	7.85931359465448e-14	ENSG00000214837	LINC01347	
ENSG00000115252	606.2322467262	-1.5571229873	0.1304518988	-11.9363765647	7.648303027815689e-33	1.967499761087e-30	ENSG00000115252	PDE1A	phosphodiesterase 1A
ENSG00000162739	133.9118122728	-1.5563578302	0.24651607700000003	-6.313413101	2.7294761909158004e-10	4.02329932411365e-09	ENSG00000162739	SLAMF6	SLAM family member 6
ENSG00000114654	158.8505875858	-1.5547493022	0.18748171900000002	-8.2928048182	1.1060875849569799e-16	4.419408246363231e-15	ENSG00000114654	EFCC1	EF-hand and coiled-coil domain containing 1
ENSG00000147459	572.8041154232	-1.5518373435	0.2060960073	-7.5296817428	5.08641440005685e-14	1.34532078899532e-12	ENSG00000147459	DOCK5	dedicator of cytokinesis 5
ENSG00000204381	137.9044884277	-1.5493216576000002	0.1994398766	-7.7683645013	7.950599391205841e-15	2.39894707157931e-13	ENSG00000204381	LAYN	layilin
ENSG00000079841	23.0357117296	-1.5475727803	0.2020259527	-7.6602672066	1.8554662916348502e-14	5.21613794769625e-13	ENSG00000079841	RIMS1	regulating synaptic membrane exocytosis 1
ENSG00000100427	40.388917272	-1.5472952435	0.30147165400000003	-5.1324733944	2.85959160624422e-07	2.42658250219884e-06	ENSG00000100427	MLC1	modulator of VRAC current 1
ENSG00000095739	205.0610817566	-1.5457968785	0.16502628260000002	-9.366973882	7.46418472717291e-21	5.00606874969929e-19	ENSG00000095739	BAMBI	BMP and activin membrane bound inhibitor
ENSG00000274460	23.250608017	-1.5447823351999999	0.2308462976	-6.6918220096	2.2040885776665897e-11	3.9382092673645004e-10	ENSG00000274460	ENSG00000274460	ENSG00000274460
ENSG00000163508	61.2312186752	-1.539188041	0.28580571120000003	-5.3854348619	7.22697046191984e-08	6.94195796953415e-07	ENSG00000163508	EOMES	eomesodermin
ENSG00000189120	32.6388725567	-1.5369597765	0.3565034764	-4.3112055794	1.62366860614844e-05	9.2201006213673e-05	ENSG00000189120	SP6	Sp6 transcription factor
ENSG00000109832	17.7572320742	-1.5353015473	0.2911339077	-5.2735236487	1.338289996314e-07	1.20767649403078e-06	ENSG00000109832	DDX25	DEAD-box helicase 25
ENSG00000172673	40.7585062393	-1.5347476167	0.2971371353	-5.1651154785	2.40290525552246e-07	2.06612444109232e-06	ENSG00000172673	THEMIS	thymocyte selection associated
ENSG00000170891	51.2047198414	-1.5300788025	0.2377515041	-6.4356219682	1.22968738113808e-10	1.92306714528088e-09	ENSG00000170891	CYTL1	cytokine like 1
ENSG00000135298	109.3422852624	-1.5294545358	0.150900316	-10.1355290456	3.84287688699197e-24	3.85911150057873e-22	ENSG00000135298	ADGRB3	adhesion G protein-coupled receptor B3
ENSG00000143318	80.9531204515	-1.5283572715	0.2299042118	-6.6478002276	2.9750571547266694e-11	5.21162297654965e-10	ENSG00000143318	CASQ1	calsequestrin 1
ENSG00000135074	470.7083764809	-1.5264154535999999	0.1860898376	-8.2025728736	2.35296016447181e-16	8.89059133372557e-15	ENSG00000135074	ADAM19	ADAM metallopeptidase domain 19
ENSG00000127152	89.9612077076	-1.5254667874	0.276024151	-5.5265699828	3.26552035445002e-08	3.34368629968468e-07	ENSG00000127152	BCL11B	BAF chromatin remodeling complex subunit BCL11B
ENSG00000166278	228.5785024865	-1.5246734687	0.2837032821	-5.3741833991	7.69305255512114e-08	7.35954324669485e-07	ENSG00000166278	C2	complement C2
ENSG00000180383	19.7329139283	-1.524630152	0.3428162587	-4.4473682713	8.6928733607301e-06	5.23216246285739e-05	ENSG00000180383	DEFB124	defensin beta 124
ENSG00000166743	16.90871017	-1.5242957540000002	0.25798378380000003	-5.9084944468	3.45248449607371e-09	4.24030126564868e-08	ENSG00000166743	ACSM1	acyl-CoA synthetase medium chain family member 1
ENSG00000112394	28.276379016	-1.5240921775	0.3249490561	-4.6902495908	2.72871989268604e-06	1.85192016135711e-05	ENSG00000112394	SLC16A10	solute carrier family 16 member 10
ENSG00000275180	32.2582889423	-1.5233140713000002	0.2342829589	-6.5020267737	7.9244991724952e-11	1.28398766143475e-09	ENSG00000275180	ENSG00000275180	ENSG00000275180
ENSG00000154358	647.710909797	-1.5227268358	0.1685266591	-9.035524965	1.6321711235216e-19	9.46004368167039e-18	ENSG00000154358	OBSCN	obscurin, cytoskeletal calmodulin and titin-interacting RhoGEF
